epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2505592703819275	0.0562305711209774	0.2570087587758729	0.2214765101671219	0.09794776886701584	0.240863442294391
20.0	0.3055928647518158	0.06958038359880447	0.3146817079073002	0.2659955322742462	0.12096799165010452	0.2922009232697811
30.0	0.3087248206138611	0.07085185497999191	0.31943806530561347	0.27807608246803284	0.12905076146125793	0.3034390417212924
40.0	0.32304251194000244	0.07437727600336075	0.3318083402334423	0.2843400239944458	0.1325647383928299	0.3116304560436151
50.0	0.31767338514328003	0.07458203285932541	0.33157203987780914	0.2791946232318878	0.13151319324970245	0.31008927306549383
60.0	0.3194631040096283	0.07597985863685608	0.32715993784817665	0.2823266386985779	0.1325240582227707	0.308689483856188
70.0	0.3136465549468994	0.0744067057967186	0.3275542747660942	0.27561521530151367	0.12927471101284027	0.30619007585958585
80.0	0.3087248206138611	0.07246291637420654	0.3163587814865885	0.2727069556713104	0.12895241379737854	0.2980893591327193
90.0	0.2997762858867645	0.07181049138307571	0.3117221096323524	0.2731543779373169	0.12907233834266663	0.29868219421541337
100.0	0.2970917522907257	0.07102703303098679	0.3067874668310221	0.258165568113327	0.12165618687868118	0.2853221800278871
110.0	0.30067116022109985	0.07270754128694534	0.3124365437931907	0.2666666805744171	0.12625880539417267	0.2943380848822396
120.0	0.2970917522907257	0.07153049856424332	0.3025865886788973	0.25973156094551086	0.12096291035413742	0.28363594932189234
130.0	0.2961968779563904	0.07278548181056976	0.3014573165555937	0.25503355264663696	0.12120155245065689	0.2803583069568015
140.0	0.28680092096328735	0.06961962580680847	0.2971540615865576	0.25503355264663696	0.11982240527868271	0.2805326692617837
150.0	0.27829980850219727	0.06995701789855957	0.28636216596919095	0.24944071471691132	0.1190609335899353	0.2725167338418088
160.0	0.27472037076950073	0.06437913328409195	0.2886306726441749	0.2454138696193695	0.11447672545909882	0.27179992230299493
