epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.21163310110569	0.044341716915369034	0.21323509427296233	0.20671141147613525	0.08908842504024506	0.2142956180106774
20.0	0.2684563994407654	0.05834855139255524	0.27658552807945425	0.24161073565483093	0.1055477187037468	0.2612710157814623
30.0	0.2903803288936615	0.06549481302499771	0.3018404716143659	0.2552572786808014	0.11145623028278351	0.2809676879153613
40.0	0.2997762858867645	0.06762803345918655	0.31318520385694226	0.26689037680625916	0.11600702255964279	0.2935682968248049
50.0	0.3060402274131775	0.06967498362064362	0.3182691232981501	0.26756149530410767	0.11671164631843567	0.2955853999492618
60.0	0.3087248206138611	0.06931576877832413	0.3247687871483823	0.2711409330368042	0.12005205452442169	0.3017086840119605
70.0	0.3167785406112671	0.0750843733549118	0.3229470362928886	0.27561521530151367	0.12331555783748627	0.30038751035259353
80.0	0.3069351613521576	0.07154043018817902	0.32457777913729896	0.27203577756881714	0.1217573881149292	0.30310760235042983
90.0	0.31498879194259644	0.07371769845485687	0.32811476782282983	0.2778523564338684	0.12438347190618515	0.30753711749098733
100.0	0.3051454424858093	0.0708010271191597	0.3204594179514746	0.2691275179386139	0.12228184193372726	0.2995142373655693
110.0	0.31051453948020935	0.07116302102804184	0.3236589030121529	0.273601770401001	0.12110523134469986	0.30230543323313547
120.0	0.3123042583465576	0.07300542294979095	0.32236351336931224	0.27472037076950073	0.12322193384170532	0.3019353349878625
130.0	0.30783000588417053	0.07020813971757889	0.3217012475250545	0.27293065190315247	0.12396194785833359	0.30144237113117
140.0	0.3082773983478546	0.0704474076628685	0.32170818245052535	0.2697986364364624	0.11917871981859207	0.2988976643319042
150.0	0.30648770928382874	0.07082579284906387	0.3117399466972432	0.27225950360298157	0.12274761497974396	0.29508017702034245
160.0	0.304250568151474	0.07007662206888199	0.31915092789586164	0.2673377990722656	0.12074761092662811	0.2969912367035152
170.0	0.3055928647518158	0.06953705102205276	0.31646299910630543	0.26890379190444946	0.12153888493776321	0.29582732761494723
